Employee_ID,Name,Department,City,Gender,Age,Experience,Salary,Performance
101,Ali,Sales,Islamabad,Male,26,11,65000,Excellent
102,Sara,HR,Karachi,Female,45,16,75000,Good
103,  ahmed ,Marketing,Rawalpindi,Male,34,4,70000,Good
104,Ayesha,Sales,Rawalpindi,Female,44,11,75000,Good
105,Usman,IT,Faisalabad,Male,45,18,50000,Excellent
106,Hina,Sales,Islamabad,Female,45,16,70000,Average
107,Bilal,Finance,Faisalabad,Male,37,14,75000,Good
108,SARA,Finance,Rawalpindi,Female,43,6,55000,Good
109,Zain,IT,Rawalpindi,Male,33,9,75000,Average
110,Fatima,IT,Islamabad,Female,40,1,70000,Excellent
111,Hamza,Finance,Lahore,Male,45,14,45000,Excellent
112,Mariam,,Rawalpindi,Female,42,20,70000,Average
113,Saad,Finance,Rawalpindi,Male,37,10,55000,Poor
114,Iqra,Sales,Rawalpindi,Female,33,8,75000,Average
115,Danish,Sales,Rawalpindi,Male,37,20,70000,Good
116,Komal,HR,Karachi,Female,38,16,60000,Average
117,Talha,IT,Rawalpindi,Male,43,18,50000,Good
118,Laiba,Sales,Islamabad,Female,44,9,45000,Poor
119,Asad,Finance,Faisalabad,Male,37,9,80000,Average
120,Mehwish,HR,Faisalabad,Female,33,1,55000,Good
121,Omar,Marketing,Faisalabad,Male,43,13,65000,Excellent
122,Eman,Finance,Islamabad,Female,41,11,70000,Excellent
123,Farhan,Finance,Lahore,Male,43,7,80000,Poor
124,Rabia,Sales,Lahore,Female,33,18,80000,Poor
125,Areeb,HR,Faisalabad,Male,29,16,70000,Excellent
126,Anum,HR,Islamabad,Female,27,13,60000,Average
127,Yasir,Finance,Karachi,Male,28,15,55000,Good
128,Sana,Marketing,Faisalabad,Female,38,5,55000,Excellent
129,Shayan,Finance,Karachi,Male,24,12,70000,Poor
130,Kiran,IT,Lahore,Female,44,14,50000,Poor
110,Hamza,IT,Lahore,Male,30,5,60000,Good
